Hotel Price Type 
TheTaj Rs20000\night Deluxe
Oberoi Rs15000\night Deluxe
SpiceVillage Rs2000\night NonDeluxe
RambaghPalace Rs2100\night NonDeluxe
BruntonBackyard Rs7500\night Deluxe
TheManor Rs5100\night Deluxe
Pachvatti Rs8000\night Deluxe
CasaSusegad Rs10100\night Deluxe
DelhiInn Rs6000\night Deluxe
BestInn Rs2000\night NonDeluxe
Galway Rs21000\night NonDeluxe
HotelAshok Rs11100\night Deluxe
CentaurHotel Rs3000\night NonDeluxe
LeMeridian Rs20100\night Deluxe
LeelaPalaceHotel Rs23000\night Deluxe
TheResidence Rs6100\night Deluxe
SeasonsServiceApt Rs8000\night Deluxe
JuhuPalace Rs4100\night NonDeluxe
HotelJuhuPlaza Rs2000\night NonDeluxe
BestINN Rs2100\night NonDeluxe
