packagename destination Duration price 
WeekendGetawaytoMatheran Mumbai 2Nights Rs14999
VerdantPanoramaofLonavala Mumbai 3Nights Rs15999
WeekendGetawaytoSilvassa Mumbai 2Nights Rs10999
WeekendGetawaytoDaman Mumbai 3Nights Rs11999
GoldenTriangleTour Delhi 5Nights Rs22999
RajasthanAPanoramaofRichHeritage Rajasthan 4Nights Rs14999
KanataltoRishikeshWildlifetoHoliness Rishikesh 5Nights Rs10999
NaturalCharmofNainitalandKausani Nainital 4Nights Rs18999
MussoorietoAuliVerdantHills&HolyCharm Mussouruie 3Nights Rs10999
FascinatingTamilNadu Chennai 7Nights Rs16999
MagnificentTamilNadu Chennai 8Nights Rs20999
RoyalSouthIndiaTour Chennai 7Nights Rs25999
ChennaiTourandTirupathiDarshanDeluxe Tirupathi 5Nights Rs14999
ScenicTamilNadu Chennai 6Nights Rs14999
FascinatingKolkata Kolkata 4Nights Rs14999
WeekendGetawaytoCalcutta Kolkata 3Nights Rs15999
WeekendGetawaytoBengal Kolkata 2Nights Rs14999
FascinatingBengal Kolkata 5Nights Rs20999
FascinatingTamilNadu Kolkata 7Nights Rs24999
WeekendGetawaytoDelhi Delhi 3Nights Rs14999

